Pemain 1,Pemain 2,Pemain 3,Status A,Status B
Andrew Wiggins,Kevon Looney,Damion Lee,AKTIF,AKTIF
Andrew Wiggins,Otto Porter Jr.,Damion Lee,tidak aktif,tidak aktif
Jordan Poole,Draymond Green,Damion Lee,AKTIF,AKTIF
Jordan Poole,Otto Porter Jr.,Andre Iguodala,AKTIF,AKTIF
Jordan Poole,Otto Porter Jr.,Kevon Looney,AKTIF,AKTIF
Draymond Green,Kevon Looney,Damion Lee,AKTIF,AKTIF
Jordan Poole,Klay Thompson,Draymond Green,tidak aktif,AKTIF
Klay Thompson,Otto Porter Jr.,Damion Lee,tidak aktif,tidak aktif
Jordan Poole,Kevon Looney,Andre Iguodala,tidak aktif,tidak aktif
Klay Thompson,Kevon Looney,Damion Lee,tidak aktif,tidak aktif
Andrew Wiggins,Jordan Poole,Klay Thompson,AKTIF,AKTIF
Otto Porter Jr.,Kevon Looney,Andre Iguodala,tidak aktif,tidak aktif
Andrew Wiggins,Klay Thompson,Damion Lee,tidak aktif,tidak aktif
Andrew Wiggins,Jordan Poole,Damion Lee,AKTIF,AKTIF
Andrew Wiggins,Klay Thompson,Draymond Green,tidak aktif,AKTIF
Jordan Poole,Klay Thompson,Otto Porter Jr.,tidak aktif,AKTIF
Jordan Poole,Klay Thompson,Andre Iguodala,tidak aktif,AKTIF
Draymond Green,Otto Porter Jr.,Andre Iguodala,tidak aktif,tidak aktif
Andrew Wiggins,Jordan Poole,Draymond Green,AKTIF,AKTIF
Jordan Poole,Draymond Green,Otto Porter Jr.,AKTIF,AKTIF
Andrew Wiggins,Kevon Looney,Andre Iguodala,tidak aktif,tidak aktif
Jordan Poole,Klay Thompson,Kevon Looney,AKTIF,AKTIF
Jordan Poole,Draymond Green,Andre Iguodala,tidak aktif,tidak aktif
Draymond Green,Otto Porter Jr.,Kevon Looney,AKTIF,AKTIF
Jordan Poole,Damion Lee,Andre Iguodala,AKTIF,tidak aktif
Andrew Wiggins,Draymond Green,Damion Lee,AKTIF,AKTIF
Andrew Wiggins,Otto Porter Jr.,Andre Iguodala,AKTIF,AKTIF
Klay Thompson,Draymond Green,Damion Lee,tidak aktif,tidak aktif
Jordan Poole,Draymond Green,Kevon Looney,AKTIF,AKTIF
Klay Thompson,Otto Porter Jr.,Andre Iguodala,tidak aktif,AKTIF
Draymond Green,Kevon Looney,Andre Iguodala,tidak aktif,tidak aktif
Otto Porter Jr.,Damion Lee,Andre Iguodala,tidak aktif,tidak aktif
Andrew Wiggins,Otto Porter Jr.,Kevon Looney,AKTIF,AKTIF
Klay Thompson,Otto Porter Jr.,Kevon Looney,tidak aktif,AKTIF
Andrew Wiggins,Klay Thompson,Otto Porter Jr.,tidak aktif,AKTIF
Jordan Poole,Otto Porter Jr.,Damion Lee,tidak aktif,tidak aktif
Klay Thompson,Kevon Looney,Andre Iguodala,tidak aktif,tidak aktif
Andrew Wiggins,Jordan Poole,Otto Porter Jr.,AKTIF,AKTIF
Andrew Wiggins,Klay Thompson,Andre Iguodala,tidak aktif,AKTIF
Andrew Wiggins,Damion Lee,Andre Iguodala,AKTIF,tidak aktif
Andrew Wiggins,Klay Thompson,Kevon Looney,AKTIF,AKTIF
Jordan Poole,Kevon Looney,Damion Lee,AKTIF,AKTIF
Andrew Wiggins,Jordan Poole,Andre Iguodala,AKTIF,AKTIF
Andrew Wiggins,Jordan Poole,Kevon Looney,AKTIF,AKTIF
Otto Porter Jr.,Kevon Looney,Damion Lee,tidak aktif,tidak aktif
Draymond Green,Damion Lee,Andre Iguodala,tidak aktif,tidak aktif
Andrew Wiggins,Draymond Green,Otto Porter Jr.,AKTIF,AKTIF
Kevon Looney,Damion Lee,Andre Iguodala,tidak aktif,tidak aktif
Klay Thompson,Draymond Green,Otto Porter Jr.,tidak aktif,AKTIF
Klay Thompson,Damion Lee,Andre Iguodala,tidak aktif,tidak aktif
Andrew Wiggins,Draymond Green,Andre Iguodala,tidak aktif,tidak aktif
Andrew Wiggins,Draymond Green,Kevon Looney,AKTIF,AKTIF
Klay Thompson,Draymond Green,Andre Iguodala,tidak aktif,tidak aktif
Klay Thompson,Draymond Green,Kevon Looney,tidak aktif,AKTIF
Jordan Poole,Klay Thompson,Damion Lee,tidak aktif,tidak aktif
Draymond Green,Otto Porter Jr.,Damion Lee,tidak aktif,tidak aktif
